UID,Rk,Player,playerid,Age,Tm,Lg,Season,G_Totals,GS_Totals,MP_Totals,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,draftyr,draftrd,draftpk,SeasonN,DraftTeam,playedForDrafter,YrFirstSeason,DraftEra,Seasonstartyr,Seasonendyr,Salary,Source
howarjo012007-08,4040,Josh Howard,howarjo01,27,DAL,NBA,2007-08,76,76,2757,18.3,0.168,0.308,5.2,16.7,11.2,10.6,1.1,0.9,7.5,25.9,111,106,4.8,3.2,8,0.14,1.3,-0.5,0.8,1.9,2003,1,29,5,DAL,Yes,2003,HSEra,2007,2008,9000000.00, bballref 
howarju011995-96,5443,Juwan Howard,howarju01,22,WSB,NBA,1995-96,81,81,3294,17,0.009,0.284,6.9,16.5,11.8,18.7,1,0.8,15.2,27,104,108,2.5,3.1,5.6,0.082,0,0.2,0.2,1.8,1994,1,5,2,WSB,Yes,1994,HSEra,1995,1996,1702000.00, bballref 
howarju011996-97,5683,Juwan Howard,howarju01,23,WSB,NBA,1996-97,82,82,3324,16.1,0.002,0.296,7.2,15.6,11.5,15.2,1.5,0.5,14.2,23.4,105,106,3.3,3.7,7,0.101,0,0.5,0.5,2.1,1994,1,5,3,WSB,Yes,1994,HSEra,1996,1997,9750000.00, bballref 
howarju011997-98,5941,Juwan Howard,howarju01,24,WAS,NBA,1997-98,64,64,2559,15.2,0.002,0.361,6.9,13.2,10,13.6,1.7,0.6,13.9,23.2,103,106,2.1,2.4,4.6,0.086,-0.1,0.3,0.2,1.5,1994,1,5,4,WSB,Yes,1994,HSEra,1997,1998,11250000.00, bballref 
howarju011998-99,6191,Juwan Howard,howarju01,25,WAS,NBA,1998-99,36,36,1430,17.1,0.005,0.242,7.2,16.9,12,14,1.6,0.7,12.4,24.6,101,103,1.5,1.2,2.8,0.093,0.8,0.2,1,1.1,1994,1,5,5,WSB,Yes,1994,HSEra,1998,1999,13125000.00, bballref 
hudsole012009-10,1197,Lester Hudson,hudsole01,25,TOT,NBA,2009-10,25,0,131,13.2,0.302,0.245,6.4,9.9,8.2,15.7,3.2,1.8,19.3,25,94,105,-0.1,0.2,0.1,0.029,-2.4,-0.2,-2.6,0,2009,2,58,1,BOS,?,2009,1&DoneEra,2009,2010,392987.00, bballref 
hudsole012010-11,2019,Lester Hudson,hudsole01,26,WAS,NBA,2010-11,11,0,73,6,0.625,0.167,1.5,6.5,3.9,34.1,2.8,1,21.4,19.8,81,111,-0.2,0,-0.1,-0.082,-4.2,-3.4,-7.6,-0.1,2009,2,58,2,BOS,No,2009,1&DoneEra,2010,2011,192791.00, bballref 
hudsole012011-12,2278,Lester Hudson,hudsole01,27,TOT,NBA,2011-12,16,0,334,13.9,0.395,0.253,2.3,13.8,7.8,20.6,2.2,0.7,15.1,28.6,94,108,-0.1,0.2,0.1,0.012,-0.4,-2.2,-2.7,-0.1,2009,2,58,3,BOS,?,2009,1&DoneEra,2011,2012,172706.34, minimum contract divided by games played 
hudsole012014-15,2510,Lester Hudson,hudsole01,30,LAC,NBA,2014-15,5,0,56,16,0.429,0.286,2.1,13.8,8,12.6,5.4,1.5,16,15.1,108,98,0.1,0.1,0.2,0.141,0,3.3,3.3,0.1,2009,2,58,4,BOS,No,2009,1&DoneEra,2014,2015,55774.00, bballref 
huestjo012015-16,340,Josh Huestis,huestjo01,24,OKC,NBA,2015-16,5,0,55,6.7,0.5,0.333,4.2,15,9.9,0,0.9,2.8,17.9,13,87,107,0,0.1,0,0.01,-4.9,-2.5,-7.4,-0.1,2014,1,29,1,OKC,Yes,2015,1&DoneEra,2015,2016,1140240.00, bballref 
huestjo012016-17,654,Josh Huestis,huestjo01,25,OKC,NBA,2016-17,2,0,31,26.1,0.364,0.091,14.3,17.9,16.1,15.5,0,7.7,0,15.7,143,106,0.1,0,0.2,0.265,3.9,1.8,5.7,0.1,2014,1,29,2,OKC,Yes,2015,1&DoneEra,2016,2017,1191480.00, bballref 
huestjo012017-18,920,Josh Huestis,huestjo01,26,OKC,NBA,2017-18,69,10,982,5.4,0.632,0.11,4.6,13.9,9.1,2.7,0.8,4,12,9.5,91,109,-0.5,1,0.5,0.024,-4.6,0.7,-3.9,-0.5,2014,1,29,3,OKC,Yes,2015,1&DoneEra,2017,2018,1471382.00, bballref 
hughela011998-99,4269,Larry Hughes,hughela01,20,PHI,NBA,1998-99,50,1,988,16.7,0.126,0.365,9.6,12.7,11.1,15.3,2.4,1.1,12.4,25.2,100,99,0.9,1.5,2.4,0.117,0.5,-0.1,0.4,0.6,1998,1,8,1,PHI,Yes,1998,HSEra,1998,1999,1330000.00, bballref 
